Column 1,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,content_re,Positive Sentiment Sum,Negative Sentiment Sum,Positive Sentiment Mean,Negative Sentiment Mean,Overall Sentiment
1112,047dae4e-3051-4d01-8694-7f60cc933417,Catherine SIMONET,https://play-lh.googleusercontent.com/a/AItbvmkxOpqfjgrU1ocAc1EFUtgPL2kD-lKdVZUnCFnX=mo,KmmnnmmmmlilliñKñlkmmmmmmmmmmmmmmmmmñlkmmmmmmmmmmmmmmmlkmmmmm,5,0,8.39.1 build 12 50268,9/11/22 3:24,,,kmmnnmmmmlilli k lkmmmmmmmmmmmmmmmmm lkmmmmmmmmmmmmmmmlkmmmmm,0,0,0,0,0
1113,bad7e579-4508-4fdf-9e05-219c063a7e85,Rajshree Mane,https://play-lh.googleusercontent.com/a-/AFdZucoPkgP5_-OTGxwWTsGgM1vpDs-2Hq2B34i8y5P81A,👍🏻☺️😎,5,0,8.39.1 build 12 50268,9/11/22 3:23,,,,0,0,0,0,0
1114,9e14dca3-3311-43cf-997a-b0d3bf57f117,Shifa Aiman,https://play-lh.googleusercontent.com/a/AItbvmnU_94qZNfvSMdr1wi8kYUb1uIfh2-epdjGdKg=mo,Why its not downloading...i don't whats going on...let me no if you have any suggestions...thank you... Other Apps are working accept netflix plz let me know,1,0,8.26.0 build 11 40221,9/11/22 3:14,,,why its not downloading i don't whats going on let me no if you have any suggestions thank you other apps are working accept netflix plz let me know,0,0,0,0,0
1115,7d05d611-f798-4515-9d48-bfb19e613ff1,Sharon Wyatt,https://play-lh.googleusercontent.com/a/AItbvmk2amEAThdSVTAAfHjGLIAhtE5pKRscbgJGpmtu=mo,Never used it as it uses too much data,1,0,8.37.0 build 13 50262,9/11/22 3:12,,,never used it as it uses too much data,0,0,0,0,0
1116,b4d4dfb1-fcb4-468f-8900-ecb25b6661f3,Prakash Ojha,https://play-lh.googleusercontent.com/a/AItbvmlL6UanX15b3w0XvCQrApwJnnSLxRAJzlkmh1Ih=mo,I don't like this app.,1,0,,9/11/22 3:00,,,i don't like this app,0,0,0,0,0
1117,d92a1779-1441-443f-ad19-11a2669f6e3b,Saifullah Dahani,https://play-lh.googleusercontent.com/a-/AFdZucp9_065qoeXVWMVG6-abkZ58sfpaBftwRxf_6vtPw,Vikings 🔥,5,0,8.19.0 build 4 40164,9/11/22 2:58,,,vikings,0,0,0,0,0
1118,51353016-44e2-4264-b1fe-fe9312e178bf,Ajay Jassal,https://play-lh.googleusercontent.com/a-/AFdZucrc4tKt4VFd8TCqajf4q6XSXm63VOrXLOcHtqCsAw,I have done my payment but my account is not activated yet. What is this going on,1,0,8.39.1 build 12 50268,9/11/22 2:56,,,i have done my payment but my account is not activated yet what is this going on,0,0,0,0,0
1119,9a5fa04e-3fa2-4148-bada-fd82b9a482f2,Suli Adams,https://play-lh.googleusercontent.com/a/AItbvmmUKDdX1IoXi3hqrQDbwVb4v6o5Zn2qUWsdtRKY=mo,Cool dude,5,0,8.37.0 build 13 50262,9/11/22 2:51,,,cool dude,0,0,0,0,0
1120,7900b673-4320-4b5b-bbc0-f88d3e135dd8,drmac73,https://play-lh.googleusercontent.com/a/AItbvmn36TU7S4FHDhrIKfrTdJoLXo47GL4UkK8HZnaB=mo,Good,5,0,8.39.1 build 12 50268,9/11/22 2:42,,,good,60,0,60,0,60
1121,ac249dfa-94f8-4197-a2c5-6c9fcbf33474,mujahid khan,https://play-lh.googleusercontent.com/a-/AFdZucp6sjycq6mEP7Z8fW7ty9BmxCHci2GHF880ILYmlw,Ghg,5,0,,9/11/22 2:41,,,ghg,0,0,0,0,0
1122,3c99028f-38f2-4d6b-8788-218ac9f3dd7d,Benneth Nwabueze,https://play-lh.googleusercontent.com/a/AItbvmmTruWQhYWhfGNKWBZ59tmlZhDIyIlisdetTFg-=mo,I just like Netflix,4,0,8.22.1 build 22 40193,9/11/22 2:38,,,i just like netflix,0,0,0,0,0
1123,82b3cb86-aa9f-4774-912b-0939ccaf9ace,Phillip Davenport,https://play-lh.googleusercontent.com/a-/AFdZucpR80GOwadhIh_btqzn95hHK73CZeS6mfaCqySEGg,So far so good great discounts with TMobile benefits,5,0,8.39.1 build 12 50268,9/11/22 2:32,,,so far so good great discounts with tmobile benefits,164,0,82,0,82
1124,48a2e034-5b22-44e3-929d-a6163a7908ed,mohammad raheel,https://play-lh.googleusercontent.com/a/AItbvmk8NNdCkLgzh_fA32Q7z16W2GwfjAvWfHrgmHWk=mo,Best movies app,5,0,8.39.0 build 9 50265,9/11/22 2:32,,,best movies app,90,0,90,0,90
1125,eb4e9b05-3353-40dc-99f0-a40e5e3ddda8,Yuri Ed,https://play-lh.googleusercontent.com/a-/AFdZucp_Fw7CExOhXgMrx0-IZQWeYKuSdmBQZ22Fz-mtrg,"Netflix is good and all But there is a problem, half of all the episodes and seasons are gone, leaving them with only 1 season or 2 episodes And half of the movies that were on here are gone. Like my child like Mlp and all the seasons are gone? Please fix this right away Netflix🤦🏽‍♀️.",3,1,8.39.1 build 12 50268,9/11/22 2:28,,,netflix is good and all but there is a problem half of all the episodes and seasons are gone leaving them with only 1 season or 2 episodes and half of the movies that were on here are gone like my child like mlp and all the seasons are gone please fix this right away netflix,60,-60,60,-60,0
1126,286efd27-1d99-4a0a-a2fb-fbcb7e44b511,Shahrul Jamal Ashaari,https://play-lh.googleusercontent.com/a/AItbvmk1jjjTNToebwUgEp65f8uY3W_3bpdJX0FWIAbR=mo,Good,5,0,8.39.1 build 12 50268,9/11/22 2:25,,,good,60,0,60,0,60
1127,23bcc97c-2591-457c-a575-393706452c1e,Cik Noor,https://play-lh.googleusercontent.com/a-/AFdZucqaJ0Z16G8fm2wnwf4ET5msYnMUte2_zWK-7M7AMA,Really enjoy using this apps..,5,0,8.39.1 build 12 50268,9/11/22 2:20,,,really enjoy using this apps,0,0,0,0,0
1128,8fc20c62-66ef-4068-868f-08ef479d143f,james baird,https://play-lh.googleusercontent.com/a-/AFdZucrPRQ5ba2NX_ZiJOpz3pJE1QSHhVEtQkUuqjuh8lQ,Fantastic programmes and films nothing beats a good netflix,5,0,8.39.0 build 9 50265,9/11/22 2:18,,,fantastic programmes and films nothing beats a good netflix,150,0,75,0,75
1129,b4cfb3c6-98c3-45d6-a224-dd2362b6f33e,VINCENT MACKENZIE,https://play-lh.googleusercontent.com/a-/AFdZucppliogoKAElBny1p39H_2bNUiFVZ7YbU8TZIdE_Aw,Wow and good,5,0,7.54.2 build 38 34837,9/11/22 2:17,,,wow and good,60,0,60,0,60
1130,5612c42b-f4e8-4fea-917f-ac4cfe46047a,Omkar Sutar,https://play-lh.googleusercontent.com/a/AItbvmnbfxdRTM1oHSiwLdahDvl3e49Moj0H7FwTIPPr=mo,B3v,3,0,,9/11/22 2:17,,,b3v,0,0,0,0,0
1131,4a09d6f1-3b07-4522-8aa9-e9d44747c265,Rahim Tariq,https://play-lh.googleusercontent.com/a-/AFdZucp0njfK_e-UManOeVcc2R9cdFwG16oFQlMOU9hb,The app is great and all i can watch all seasons i want to se but still there is an tiny thing missing. Animes in English dub. I request that animes should be in dub and subtitles so people can watch in dub and subtitles Please accept this request,5,0,7.120.3 build 29 35592,9/11/22 2:10,,,the app is great and all i can watch all seasons i want to se but still there is an tiny thing missing animes in english dub i request that animes should be in dub and subtitles so people can watch in dub and subtitles please accept this request,80,0,80,0,80
1132,c3cec953-fdfa-4741-9eb8-d70ad6419860,John O'Connor,https://play-lh.googleusercontent.com/a/AItbvml8t9AsvXREo2xo3--YWbrLhF895Fec3efVoSem=mo,Excellent,5,0,8.26.0 build 11 40221,9/11/22 2:04,,,excellent,90,0,90,0,90
1133,a4d391a9-e26b-44f3-99b3-c964e60d0855,Gandhi Mathi,https://play-lh.googleusercontent.com/a-/AFdZucqha-pkCRGtiEHQ_NI3OiBQDIR-b9p8gGslkKCQeg,Manually add,5,0,8.39.1 build 12 50268,9/11/22 2:03,,,manually add,0,0,0,0,0
1134,d8d2e76d-4bdf-4ca3-abc3-3a4bc812a4e6,Junnel Daza,https://play-lh.googleusercontent.com/a-/AFdZuco-pqSw-dYd1pYmh85CK6-ugU9oEczuLfGfn86ppQ,its very nice watching movies in this app🥰💖💖,5,0,,9/11/22 1:53,,,its very nice watching movies in this app,40,0,40,0,40
1135,ad23dcbf-7dd1-471d-9378-d343d4ad81b3,Kyle UntrainableWizard,https://play-lh.googleusercontent.com/a-/AFdZucoyeXdGEy3kXAqgpp_uB73sq44bMMk7d-brWIQY,"The app won't even start, I get a second of the loading symbol and then it closes. I've tried uninstalling and reinstalling, clearing cache, even signing out of my Google account to try and avoid Google auto-signing in, but it just won't open...",1,0,8.37.0 build 13 50262,9/11/22 1:51,,,the app won't even start i get a second of the loading symbol and then it closes i've tried uninstalling and reinstalling clearing cache even signing out of my google account to try and avoid google auto-signing in but it just won't open,0,0,0,0,0
1136,9943c8ab-05a9-4b5d-8fbc-b3876a7e1869,Ashvin Rodge,https://play-lh.googleusercontent.com/a-/AFdZucr1I-ol4RrOO4xpqJbPJ6BVvqLVWBuTHs-bnFZ0wg,Good,4,0,,9/11/22 1:45,,,good,60,0,60,0,60
1137,36b54af7-a2a3-4b76-b4ea-d40f03102f41,Ravikumar Shivananda,https://play-lh.googleusercontent.com/a-/AFdZucoWGihg65pacoBpANye8tpA1iWgWlnTRNtK8LOcTQE,Entertainment,4,0,8.39.0 build 9 50265,9/11/22 1:44,,,entertainment,0,0,0,0,0
1138,0903891f-0793-4968-9d4c-dca74fb39198,Bradley Cobbina,https://play-lh.googleusercontent.com/a-/AFdZucr45IT1kroHQaPN2qioSi8Rfl3zfBsqkcX-5SXV2w,Easy to search great streaming quality and service,5,0,8.14.0 build 5 40129,9/11/22 1:43,,,easy to search great streaming quality and service,140,0,70,0,70
1139,acf575ff-2efb-49f4-b232-a6f70f25ec89,Afzal khan,https://play-lh.googleusercontent.com/a-/AFdZucoQs8JSch-bMnJ2QpXl8kGPJqSHbyyDLCYpeiqE,"Very nice, HD resolution.. Butt, Please put volume button on netflix player, I think now make some changes on it.",4,0,8.39.1 build 12 50268,9/11/22 1:39,,,very nice hd resolution butt please put volume button on netflix player i think now make some changes on it,40,0,40,0,40
1140,04be96e5-35a8-4614-8eb5-9cacb30c597b,Akshay Jain,https://play-lh.googleusercontent.com/a-/AFdZucpUQObIrS4FKtY3wudhYGFJ18kiA3ILLDIxGz3ppQ,Cannot manage the account in the app. Doesn't even all to change the payment method.,1,0,8.39.1 build 12 50268,9/11/22 1:36,,,cannot manage the account in the app doesn't even all to change the payment method,0,0,0,0,0
1141,b2447e4b-9b7b-4f49-9247-5155921e8407,Alexander Villberde,https://play-lh.googleusercontent.com/a/AItbvmnFJnJMfdK2ANcLcF2BCfZjrRImFVp0rLnFisvd=mo,Nice app for wacth all kind movie.,5,0,7.120.3 build 29 35592,9/11/22 1:30,,,nice app for wacth all kind movie,25,0,25,0,25
1142,445fb50d-c756-4712-b205-9394efa06f19,Butch Blades,https://play-lh.googleusercontent.com/a-/AFdZucoamRVsjtFqOxdp0L4iz3OwDZCqsLBy4X4Ze8jAgw,"So far Netflix SUX, as soon as this month is up, I'm out, ,, can't connect my phone to TV with hdmi cord causing Netflix to crash, spoke to support, oh just uninstall app, and reinstall FFS, this is like the 5th time, what do they get rewarded everytime app is downloaded obviously it clicks up the amount of downloaded numbers, just another SCAM ON PLANET EARTH, thanks for the disappointment and the movies aren't that great don't even have BOOK OF ELI... useless waste of time and money...",1,0,,9/11/22 1:28,,,so far netflix sux as soon as this month is up i'm out can't connect my phone to tv with hdmi cord causing netflix to crash spoke to support oh just uninstall app and reinstall ffs this is like the 5th time what do they get rewarded everytime app is downloaded obviously it clicks up the amount of downloaded numbers just another scam on planet earth thanks for the disappointment and the movies aren't that great don't even have book of eli useless waste of time and money,0,-205,0,-68.33333333,-68.33333333
1143,d8b9aee2-f970-459f-9ff1-05047066a89f,Min Aera,https://play-lh.googleusercontent.com/a-/AFdZucrlkNi2R_ewN2SSXG7VLJRQGXWlUcpjMXkEYK1PUw,I love this app this have every series I want but still some korean movies and dramas are not here I hope you will air them soon,5,0,8.30.0 build 5 40236,9/11/22 1:26,,,i love this app this have every series i want but still some korean movies and dramas are not here i hope you will air them soon,70,0,70,0,70
1144,956cf581-67fb-4114-a37d-dfdc2b7d4957,Chisom Emmanuel,https://play-lh.googleusercontent.com/a/AItbvmlaypqy8Ue_6b1Gq7lIdREJDThBOxKeAk_dozP-=mo,I've been trying to add my email but it kept on saying ( you're almost there) yet it can't do anything.,1,0,8.39.1 build 12 50268,9/11/22 1:18,,,i've been trying to add my email but it kept on saying you're almost there yet it can't do anything,0,0,0,0,0
1145,f5631439-868c-4a23-b362-e953d790bc8c,ROSE WIGHTMAN,https://play-lh.googleusercontent.com/a/AItbvmlP9UecBenS7G0BS7dX-LMRO8ujxniQVKhKH1a4=mo,SEND NOW,5,0,8.39.0 build 9 50265,9/11/22 1:13,,,send now,0,0,0,0,0
1146,90766272-a753-49e3-a45a-3dab594243ed,__ Jozik __,https://play-lh.googleusercontent.com/a-/AFdZucpqMPwbyyIxaUEh_LODCcfCovimvF73q_tGNxYLDA,Wow its good,5,0,8.30.0 build 5 40236,9/11/22 0:54,,,wow its good,60,0,60,0,60
1147,fcf2a1cf-796f-41b2-8d3a-395acbe9210b,David Quilestino,https://play-lh.googleusercontent.com/a/AItbvmm6nmOhw68o6cF1KyoSobHqN1BQhj1b53gW-a0v=mo,I like movies watching,5,0,8.39.1 build 12 50268,9/11/22 0:45,,,i like movies watching,0,0,0,0,0
1148,dbe6055c-99a6-449e-9e68-2d73e2c0407b,Nawal Kishore Arora,https://play-lh.googleusercontent.com/a/AItbvmk41DU1eCYj2nA6B-gAvpc5H_lUbHYwU-xYZ1Ts=mo,Very nice,5,0,,9/11/22 0:44,,,very nice,40,0,40,0,40
1149,26c671cb-445e-40e3-9b6a-27d8e64e99e3,Coco Integrated Services,https://play-lh.googleusercontent.com/a-/AFdZucpUqzcAbikS73uoh1uBCzk7i5A1_KLedh72FLicrA,The app started being trouble. It doesn't open since yesterday. Fix this and I will rate y'all 5stars.,1,0,8.39.1 build 12 50268,9/11/22 0:42,,,the app started being trouble it doesn't open since yesterday fix this and i will rate y'all 5stars,0,0,0,0,0
1150,f1647ea0-e21e-4b72-939f-7dd8684cb483,Bhavika Pathak,https://play-lh.googleusercontent.com/a-/AFdZucpm8ZnpC2SeSyi2DrSAokfwnpuzb7NzGB90GvZWwe4,Why the app is not working properly? Every now and then it shows some issue like 5.10 and many more. Concern team please do solve this issue.,2,0,8.25.1 build 10 40215,9/11/22 0:21,,,why the app is not working properly every now and then it shows some issue like 5 10 and many more concern team please do solve this issue,0,-30,0,-30,-30
1151,f208bf98-7101-4ae6-a60b-22b116b3dafc,shubham agre,https://play-lh.googleusercontent.com/a/AItbvmmdpZZutvcdFtzWdp6dR2dgy5e_TtIw-CieSAzT=mo,Best to good keep it on,5,0,8.39.1 build 12 50268,9/11/22 0:20,,,best to good keep it on,150,0,75,0,75
1152,853722ed-77af-4448-8030-b7d8a0d67225,Becky Dan,https://play-lh.googleusercontent.com/a/AItbvmnsLNQTj8lRVC-CGSV_XxEu5q083LEGNOq_zVeh=mo,It's indeed the best,4,0,8.30.3 build 14 50239,9/11/22 0:14,,,it's indeed the best,90,0,90,0,90
1153,333b648e-5675-4d75-a78c-b1744eaebfbc,Ayush and Archi Ekka,https://play-lh.googleusercontent.com/a/AItbvml_dSAR_whvGmuxarOIsbLEwP8El5y7bLrNzBGr=mo,100000000 videosझभणझ,5,0,8.25.1 build 10 40215,9/11/22 0:11,,,100000000 videos,0,0,0,0,0
1154,e226a33d-3d52-492f-85b3-4a1514031318,Vanajakshi KB Vanajakshi,https://play-lh.googleusercontent.com/a/AItbvmkPDME3EouTJhDraSbSdLptGiPpm76apmYg5ceE=mo,14680pp389,5,0,,9/11/22 0:07,,,14680pp389,0,0,0,0,0
1155,89165536-6e7a-44a6-bf5e-4fa715c810a4,Gabriella Mcgillvray,https://play-lh.googleusercontent.com/a/AItbvmkHiS4IxVmvjkeBUDP2W8S3_wqUuxg1mmPmdgbm=mo,"Hackers Dawson creek BC im in need of assistance asap need telus an all phone companies too direct all staff an managers to get direct original imei settings to factory places then share immediately to CISIS/CIA usa en Canada agency's asap. This is Regarding emergency needed assistance asap!!! REPORT - Crimes are getting worse with hackings they update domains so need assistance asap. - Search, seek , fix , an eliminate!",1,0,8.39.1 build 12 50268,9/11/22 0:02,,,hackers dawson creek bc im in need of assistance asap need telus an all phone companies too direct all staff an managers to get direct original imei settings to factory places then share immediately to cisis cia usa en canada agency's asap this is regarding emergency needed assistance asap report - crimes are getting worse with hackings they update domains so need assistance asap - search seek fix an eliminate,0,-60,0,-60,-60
1156,6cfb519c-405a-4a21-a63e-443fd56bc986,davy hermans,https://play-lh.googleusercontent.com/a-/AFdZucqy3Ip-9_bvclx74nhyTX6_v9B25SeuYrbHxvE6,Zo leuke films en series,5,0,8.39.1 build 12 50268,9/10/22 23:48,,,zo leuke films en series,0,0,0,0,0
1157,95e93331-c7c1-4082-8a3e-4cd979aac997,Angel Martinez,https://play-lh.googleusercontent.com/a/AItbvmlTWTcOWUcu5b0pQtLLqOLPPf1luw9lA0x5Xh0m=mo,Picture-in-picture doesn't even work for my phone anymore,2,0,7.83.0 build 25 35223,9/10/22 23:43,,,picture-in-picture doesn't even work for my phone anymore,0,0,0,0,0
1158,6ef753a1-d020-45d3-80c0-4094cb29ed3d,WAKAZE GERALD PINTO,https://play-lh.googleusercontent.com/a-/AFdZucrfW0ytmi_h6liCFd9epgEJTmPkDLXUV1EQpydANg,Good,3,0,,9/10/22 23:42,,,good,60,0,60,0,60
1159,53a4e656-1ffc-48af-80a3-1f43919b654f,MD Sagor Islam,https://play-lh.googleusercontent.com/a/AItbvmmRKS9rAvxd61euYlfHYAbSjkJ3vHtxJSRwBiCU=mo,Good,5,0,,9/10/22 23:39,,,good,60,0,60,0,60
1160,a4fa2923-c3f5-4da0-b37f-4396f32a5891,Ana Ruiz,https://play-lh.googleusercontent.com/a-/AFdZucqAM-bDbVnC09Zqhosg5IKbuIZXOboW18ogkS3vlg,"Difficult to see their database. They narrow down the suggestions tooooo much, i like to watch different genres but the suggestions in the homepage only shows similar things to what you have watched. And the top 10 in your country differs from one user to the next. I'd like to see a broader catalogue",2,0,8.37.0 build 13 50262,9/10/22 23:36,,,difficult to see their database they narrow down the suggestions tooooo much i like to watch different genres but the suggestions in the homepage only shows similar things to what you have watched and the top 10 in your country differs from one user to the next i'd like to see a broader catalogue,0,0,0,0,0
1161,bcc43b97-3425-4c70-82d5-9e20d1594682,Elijah Mwenda,https://play-lh.googleusercontent.com/a-/AFdZucrXsp6g8EXedxqlX4dXdr9H79N3m_cWHSwQCd14UGo,Great stuff 👏,4,0,8.39.1 build 12 50268,9/10/22 23:24,,,great stuff,80,0,80,0,80
1162,966691a3-1d98-42a4-9a40-b85b0262c47e,Adhiraj Majumdar,https://play-lh.googleusercontent.com/a/AItbvmlh6W3A1u81ZQWLLU81G5UPEpqekCuSGe3vwRBy=mo,"I already paid my subscription and I've received that confirmation email but still it's showing your payment is pending, we can't expect this kind of issues from Netflix",1,0,8.39.1 build 12 50268,9/10/22 23:23,,,i already paid my subscription and i've received that confirmation email but still it's showing your payment is pending we can't expect this kind of issues from netflix,0,0,0,0,0
1163,c39e1611-9f64-4f95-8440-c1646ac30097,mr max,https://play-lh.googleusercontent.com/a-/AFdZucrMreW5dmGXhwMdC-3ziUygKD0ShVmgC-t4mlsSRQ,Nice,5,0,8.39.0 build 9 50265,9/10/22 23:22,,,nice,25,0,25,0,25
1164,680aa86a-b53e-47f7-b802-34de8a8c10be,Tony Montiel,https://play-lh.googleusercontent.com/a-/AFdZucq3oygjEeEye4Msp89CfcvJjwaLozkzq7y4EjqoHw,this app is great ! ! ! ! !,5,0,8.39.0 build 9 50265,9/10/22 23:21,,,this app is great,80,0,80,0,80
1165,4b73a8c8-2f04-4c6e-9439-ce63f61bf2f5,Peerapak Lerdsuwan,https://play-lh.googleusercontent.com/a/AItbvmnpYY0kjT09NAAXOKW20qGeDPiiJRA1sEuxxIni=mo,payment never pass,1,0,8.39.1 build 12 50268,9/10/22 23:05,,,payment never pass,0,0,0,0,0
1166,13a3dfe7-707a-4256-a8d5-bc8572e15dd9,Rweflying Hall,https://play-lh.googleusercontent.com/a/AItbvmlk69e4vy8KOcJVEaywLL-w0U_Py05WkSoXWkZJ=mo,Awesome !,5,0,8.39.0 build 9 50265,9/10/22 23:01,,,awesome,90,0,90,0,90
1167,66ed0a3a-3edf-4a65-9c56-b89fbddc1e49,Marcus Sosa,https://play-lh.googleusercontent.com/a/AItbvmmpdFpE8NCigoXgJtNXlJcX2nSh42b6lDlw1wB0=mo,Good app just needs to have more of a selection of movies but overall I like it.,3,0,,9/10/22 22:53,,,good app just needs to have more of a selection of movies but overall i like it,60,0,60,0,60
1168,e620cb5a-f5da-4cb1-84a8-76c526bd998d,Rachy K Warimo,https://play-lh.googleusercontent.com/a/AItbvmnFmLjr158O-KRvlsyJ_WeovuiEL3BGYBQ-eVSD=mo,It's so damn cool,5,0,,9/10/22 22:47,,,it's so damn cool,0,0,0,0,0
1169,e56de07a-dc73-4b1c-ac9a-ecd7566e1bdf,Alex Alba,https://play-lh.googleusercontent.com/a/AItbvmm3-zt0pkHwOSvj1_3d4xKAMz9x2AB52REoWgxB=mo,I love this app.,5,0,8.39.1 build 12 50268,9/10/22 22:46,,,i love this app,70,0,70,0,70
1170,4e55b1ab-350c-4e5c-bdde-1411e588d677,Brayo Chris,https://play-lh.googleusercontent.com/a/AItbvmkduZPwaMXECNctlJUNdXo9qfJbd-yHiAFmNGpo=mo,Good app indeed,4,0,8.39.1 build 12 50268,9/10/22 22:44,,,good app indeed,60,0,60,0,60
1171,84a22669-905a-489f-8123-a6706e2603bb,Gaby Herevia,https://play-lh.googleusercontent.com/a/AItbvmlECbVLe56lhAA3-K7yCj54jJXBJDf5sGaqbKEU=mo,its a really nice app theres no adds and everything is free,5,0,7.108.0 build 10 35506,9/10/22 22:36,,,its a really nice app theres no adds and everything is free,35,0,35,0,35
1172,3be8b5d5-6ef3-4c22-8da8-877caf930fe6,Jones Karate Cranes,https://play-lh.googleusercontent.com/a/AItbvmnHHl_5zgmKRGrlTHNd9CU2U0BCF_XmEu0kW8Qq=mo,Best app ever even though sometimes i may never find interesting shows i wanna watch they'll always have my childhood ones.,5,0,8.39.1 build 12 50268,9/10/22 22:26,,,best app ever even though sometimes i may never find interesting shows i wanna watch they'll always have my childhood ones,90,0,90,0,90
1173,ce2a4932-eab9-452d-8f3d-4f026e3d12ff,srihari eesa,https://play-lh.googleusercontent.com/a-/AFdZucoN_O80zJbNXeRuW1_U7TrX6PLT0sdcFNFpSLqipw,21st 1,5,0,8.39.1 build 12 50268,9/10/22 22:20,,,21st 1,0,0,0,0,0
1174,e69de363-b0a6-4cac-a3b2-fe7286aa299e,Bentl1 M,https://play-lh.googleusercontent.com/a-/AFdZucqyQE9cxEsoFfK8jhYT7donM6CDoWvLrUhKrTuB,"DO NOT UPGRADE to 8.26.0 build 11 40221 as it just gives Netflix advertising capabilities. You don't need this ""upgrade"". Google just made it really, really hard to see what changes were made to the app. If yours works, I wouldn't change it ... if it's not broke, don't fix it.",3,1,8.12.0 build 7 40118,9/10/22 22:19,,,do not upgrade to 8 26 0 build 11 40221 as it just gives netflix advertising capabilities you don't need this upgrade google just made it really really hard to see what changes were made to the app if yours works i wouldn't change it if it's not broke don't fix it,0,0,0,0,0
1175,00e82ad0-0d99-4c7b-a12f-2e1532b26e56,Everjoice Samuriwo,https://play-lh.googleusercontent.com/a/AItbvmnPbgX5FrOoG6WdQJFyPpZYBAra00VasFJq3t2p=mo,Oh my days,5,0,8.33.0 build 13 50248,9/10/22 22:02,,,oh my days,0,0,0,0,0
1176,c2111221-b1dd-486f-8244-62ff693a029b,Uno Zia,https://play-lh.googleusercontent.com/a/AItbvmlZtyJ2CWcp5JmTxxOUODsK81R8HWPSijQvkUi2=mo,:-P,1,0,,9/10/22 22:00,,,#NAME?,0,0,0,0,0
1177,c4e0a6be-85e1-4a5d-8b2a-bef0c8e39447,Nafeesa Patel,https://play-lh.googleusercontent.com/a-/AFdZucok5ncjfogdCYT48urEz1Srw-xIhXdBHMIpOGoY,Would rate it at zero ☆ reason one cannot see the title pictures of the movies or series in the app it's frustrating and half of the games dont even play... Very disappointed player South Africa.,1,0,8.39.0 build 9 50265,9/10/22 22:00,,,would rate it at zero reason one cannot see the title pictures of the movies or series in the app it's frustrating and half of the games dont even play very disappointed player south africa,0,0,0,0,0
1178,70fa299f-9ac9-4d6b-bf6d-04821d58a457,Akash Verma,https://play-lh.googleusercontent.com/a-/AFdZucriT4Ejo4BzYWkLM27fo9mXi0HNQkNoEVAX1KC3MA,Good,5,0,8.39.1 build 12 50268,9/10/22 21:42,,,good,60,0,60,0,60
1179,7819faf4-b654-4752-a9cb-269c1f452ec8,Mehul Patel,https://play-lh.googleusercontent.com/a/AItbvmkQYEOzKo3Kr0r1GFNtxZPxHYVkguDTb9F-Ufwl=mo,Aa nnknmmnk. Hkmmm k. K. Nrr hii aaam m be. In in c,4,0,,9/10/22 21:18,,,aa nnknmmnk hkmmm k k nrr hii aaam m be in in c,0,0,0,0,0
1180,ff759169-2cc8-4af5-a0f8-c578c2b4bfd7,Bipin Khadia,https://play-lh.googleusercontent.com/a/AItbvmk5f2VO_65gmnnwThrSEW3INMqZnafJJdGt5yHF=mo,Bipinkhadia,5,0,8.26.0 build 11 40221,9/10/22 21:14,,,bipinkhadia,0,0,0,0,0
1181,a8758527-9fd0-4a6c-a6b4-71323e8b8401,Robert McNulty,https://play-lh.googleusercontent.com/a/AItbvmmfscAhlCHMgebOJwWoXzNjAygI4x1FeepCrr9Z=mo,I was watching Netflix,4,0,8.39.1 build 12 50268,9/10/22 21:06,,,i was watching netflix,0,0,0,0,0
1182,aecfc5d2-cae8-4cea-9c58-340374c935d6,Kanta Khatik,https://play-lh.googleusercontent.com/a/AItbvmleY95ekvTIFecKvDcAJ1i_QpNP45-FRMu57HXb=mo,🙏🙏🙏,5,0,,9/10/22 21:01,,,,0,0,0,0,0
1183,a629c6e4-a46c-4a7f-affe-c54eb13638c7,Geethika Lakmine,https://play-lh.googleusercontent.com/a-/AFdZucr12XYaJ0GgDc-bxoLOyBU3BdF1iyGoyhi_0BFSNw,Nice,5,0,,9/10/22 20:55,,,nice,25,0,25,0,25
1184,48003120-b18f-4c7a-ad9a-eff191b23944,Biswajeet Bhukta,https://play-lh.googleusercontent.com/a-/AFdZucpkfpKEt_7XRgX25WTwL3dJBS9KVcB9zHUS4nk,"Totally waist of money. Netflix only provide, Old films which was 2 years old, one year old movie.",1,0,8.39.1 build 12 50268,9/10/22 20:50,,,totally waist of money netflix only provide old films which was 2 years old one year old movie,0,0,0,0,0
1185,2ce4ccd8-ce49-459b-aeea-4d14e60c7f32,N.Umamaheswari N.Umamaheswari,https://play-lh.googleusercontent.com/a-/AFdZucr1nawTWF_Uo4MdHqVQS6_naDWBxnPkak0bNeqk,Very super,5,0,8.11.1 build 12 40101,9/10/22 20:40,,,very super,0,0,0,0,0
1186,739eaa49-9b9d-4d34-865d-9bd707db5831,bonneville diapana,https://play-lh.googleusercontent.com/a/AItbvmnOYpLGtleAywj4P1gomrE_-XziwuLJRILBn0ng=mo,There is a lot of movies and tv shows and series I love the big bang theory:)))) seriers,5,0,8.39.1 build 12 50268,9/10/22 20:35,,,there is a lot of movies and tv shows and series i love the big bang theory seriers,70,0,70,0,70
